"COD_LOJA","NOME_LOJA","CIDADE_LOJA","Valor Ano Anterior","Valor Atual","Variacao (%)"
C13638,SUPER SHOW GOMES ZN ,SAO GONCALO DO AMARANTE,6671.10,5250.60,-21.29
C03056,SUPER SHOW FELIPE CAMARAO ,NATAL,2753.70,2327.90,-15.46
