"COD_LOJA","LOJA","Periodo","Valor Ano Anterior","Valor Atual","Variacao (%)"
C03056,SUPER SHOW FELIPE CAMARAO ,"1 ate 5 / 2026",2641.50,2136.50,-19.12
C13638,SUPER SHOW GOMES ZN ,"1 ate 5 / 2026",6335.50,5988.82,-5.47
